resource_id,resource_name,resource_url,description,archived,format,type,runtime,subject_areas,authoring_organization,intended_audiences,record_modified,resource_revised
L00691080,2018 MeSH Highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2018.html,"On January 5, 2018, NLM staff provided a highlights tour of the 2018 Medical Subject Headings (MeSH). A 20-minute presentation featured a deleted subheading; new publication types; isotope and radioisotope terminology updates; additional terminology for viruses, smoking, and sugars; and restructuring in the plant and animal terminology. Following the presentation, Indexing and MeSH experts answered user questions.",False,MP4 Video,Webinar,21.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,12/11/2023 12:00:00 AM,01/12/2018 12:00:00 AM
L000854112,2019 MeSH Highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2019.html,"On January 4, 2019, NLM staff provided a highlights tour of the 2019 Medical Subject Headings (MeSH). A 20-minute presentation featured new publication types, including systematic reviews; three deleted subheadings; and additional terminology for data, neoplasms and more.",False,MP4 Video,Webinar,30.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM
L001321112,2020 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2020_mesh_highlights.html,"On January 10, 2020, Sarah Helson from the National Library of Medicine highlighted new and important changes for 2020 MeSH.  A 20-minute presentation included a new publication type, ""Randomized Controlled Trial, Veterinary,"" new MeSH ""as Topic"" Headings, and a new tree structure for Infections.",False,MP4 Video,Webinar,46.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,01/25/2021 12:00:00 AM,03/27/2020 12:00:00 AM
L001961112,2021 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2021_mesh_highlights.html,"Every year, updates are made to MeSH, the NLM controlled vocabulary thesaurus used for indexing articles for PubMed. This annual webinar aims to introduce those changes and provide examples of how the changes may affect you as a PubMed searcher. For more information about MeSH, see the MeSH homepage.",False,MP4 Video,Webinar,53.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,01/18/2023 12:00:00 AM,02/17/2021 12:00:00 AM
L002741112,2022 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2022_mesh_highlights.html,"On January 12, 2022, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2022 MeSH Highlights. The webinar summarizes the changes for the 2022 MeSH featuring examples of new and updated terminology related to:  COVID-19 and other diseases; Social Determinants of Health; and Population Groups",False,MP4 Video,Webinar,53.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,12/06/2023 12:00:00 AM,02/03/2022 12:00:00 AM
L003801112,2023 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2023/mesh_highlights.html,"On January 10, 2023, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2023 MeSH Highlights. This webinar summarizes the changes for the 2023 MeSH. This presentation features examples of new and updated terminology followed by a Q&A session with NLM Indexing and Mesh experts.",False,MP4 Video,Webinar,56.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator; Developer,12/11/2023 12:00:00 AM,01/18/2023 12:00:00 AM
L005021112,2024 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2024/mesh-highlights.html,"On January 10, 2024, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2024 MeSH Highlights. This webinar summarizes the changes for the 2024 MeSH. This presentation features examples of new and updated terminology followed by a Q&A session with NLM Indexing and MeSH experts.",False,HTML,Webinar Source Page,55.0,Medical Subject Headings (MeSH); PubMed,"Training Team, User Engagement Program",Everyone; Educator,06/28/2024 12:00:00 AM,02/02/2024 12:00:00 AM
L005241112,2024 Modernized ClinicalTrials.gov Update Webinar,https://www.youtube.com/watch?v=rotNO8WVGLo,"Presented June 6, 2024, this webinar provides updates on the ClinicalTrials.gov modernization effort, and highlights features of the ClinicalTrials.gov website. The moderated Q&A session is included.",False,MP4 Video,YouTube Video,50.0,ClinicalTrials.gov,"ClinicalTrials.gov Team, NCBI",Everyone; Educator,06/24/2024 12:00:00 AM,06/20/2024 12:00:00 AM
L005884112,5 Steps to an Accessible Document,https://www.youtube.com/watch?v=_XEHxh6l6Es,"This hands-on, 90-minute class will provide the basics of making PowerPoint and Word documents accessible to people who use screen readers.",False,MP4 Video,YouTube Video,83.0,Other; Consumer Health,Network of the National Library of Medicine,Everyone,03/19/2025 12:00:00 AM,03/19/2025 12:00:00 AM
L004321112,A Biology Student’s Guide to Finding & Organizing NCBI Data for Research Projects,https://www.nlm.nih.gov/ncbi/workshops/2023-06_organizing-biology-data/workshop-details.html,"All biology research projects involve finding relevant literature and identifying related biological information. Often high school or new undergraduate students need guidance on how to effectively search for helpful information. For almost 35 years, the NCBI has provided free access to high-quality biological databases for the research community. In addition, we’ve created tools to help organize selected literature and biological data records for quick and easy access.",False,HTML,Webinar Source Page,169.0,Genetics and Molecular Biology; My NCBI; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,07/25/2023 12:00:00 AM,06/29/2023 12:00:00 AM
